Date,Tmax_C,Tmin_C,Tmean_C,Total_Precip_mm,Rain_mm,Snow_cm
1981-01-01,NA,NA,NA,NA,NA,NA
1981-01-02,NA,NA,NA,NA,NA,NA
1981-01-03,NA,NA,NA,NA,NA,NA
1981-01-04,NA,NA,NA,NA,NA,NA
1981-01-05,NA,NA,NA,NA,NA,NA
1981-01-06,NA,NA,NA,NA,NA,NA
1981-01-07,NA,NA,NA,NA,NA,NA
1981-01-08,NA,NA,NA,NA,NA,NA
1981-01-09,NA,NA,NA,NA,NA,NA
1981-01-10,NA,NA,NA,NA,NA,NA
1981-01-11,NA,NA,NA,NA,NA,NA
1981-01-12,NA,NA,NA,NA,NA,NA
1981-01-13,NA,NA,NA,NA,NA,NA
1981-01-14,NA,NA,NA,NA,NA,NA
1981-01-15,NA,NA,NA,NA,NA,NA
1981-01-16,NA,NA,NA,NA,NA,NA
1981-01-17,NA,NA,NA,NA,NA,NA
1981-01-18,NA,NA,NA,NA,NA,NA
1981-01-19,NA,NA,NA,NA,NA,NA
1981-01-20,NA,NA,NA,NA,NA,NA
1981-01-21,NA,NA,NA,NA,NA,NA
1981-01-22,NA,NA,NA,NA,NA,NA
1981-01-23,NA,NA,NA,NA,NA,NA
1981-01-24,NA,NA,NA,NA,NA,NA
1981-01-25,NA,NA,NA,NA,NA,NA
1981-01-26,NA,NA,NA,NA,NA,NA
1981-01-27,NA,NA,NA,NA,NA,NA
1981-01-28,NA,NA,NA,NA,NA,NA
1981-01-29,NA,NA,NA,NA,NA,NA
1981-01-30,NA,NA,NA,NA,NA,NA
1981-01-31,NA,NA,NA,NA,NA,NA
1981-02-01,NA,NA,NA,NA,NA,NA
1981-02-02,NA,NA,NA,NA,NA,NA
1981-02-03,NA,NA,NA,NA,NA,NA
1981-02-04,NA,NA,NA,NA,NA,NA
1981-02-05,NA,NA,NA,NA,NA,NA
1981-02-06,NA,NA,NA,NA,NA,NA
1981-02-07,NA,NA,NA,NA,NA,NA
1981-02-08,NA,NA,NA,NA,NA,NA
1981-02-09,NA,NA,NA,NA,NA,NA
1981-02-10,NA,NA,NA,NA,NA,NA
1981-02-11,NA,NA,NA,NA,NA,NA
1981-02-12,NA,NA,NA,NA,NA,NA
1981-02-13,NA,NA,NA,NA,NA,NA
1981-02-14,NA,NA,NA,NA,NA,NA
1981-02-15,NA,NA,NA,NA,NA,NA
1981-02-16,NA,NA,NA,NA,NA,NA
1981-02-17,NA,NA,NA,NA,NA,NA
1981-02-18,NA,NA,NA,NA,NA,NA
1981-02-19,NA,NA,NA,NA,NA,NA
1981-02-20,NA,NA,NA,NA,NA,NA
1981-02-21,NA,NA,NA,NA,NA,NA
1981-02-22,NA,NA,NA,NA,NA,NA
1981-02-23,NA,NA,NA,NA,NA,NA
1981-02-24,NA,NA,NA,NA,NA,NA
1981-02-25,NA,NA,NA,NA,NA,NA
1981-02-26,NA,NA,NA,NA,NA,NA
1981-02-27,NA,NA,NA,NA,NA,NA
1981-02-28,NA,NA,NA,NA,NA,NA
1981-03-01,NA,NA,NA,NA,NA,NA
1981-03-02,NA,NA,NA,NA,NA,NA
1981-03-03,NA,NA,NA,NA,NA,NA
1981-03-04,NA,NA,NA,NA,NA,NA
1981-03-05,NA,NA,NA,NA,NA,NA
1981-03-06,NA,NA,NA,NA,NA,NA
1981-03-07,NA,NA,NA,NA,NA,NA
1981-03-08,NA,NA,NA,NA,NA,NA
1981-03-09,NA,NA,NA,NA,NA,NA
1981-03-10,NA,NA,NA,NA,NA,NA
1981-03-11,NA,NA,NA,NA,NA,NA
1981-03-12,NA,NA,NA,NA,NA,NA
1981-03-13,6.5,-8,-0.8,0,0,0
1981-03-14,7,-1,3,0,0,0
1981-03-15,7,-2.5,2.3,0,0,0
1981-03-16,4.5,-8,-1.8,0,0,0
1981-03-17,6.5,-11,-2.3,0,0,0
1981-03-18,6.5,-12,-2.8,0,0,0
1981-03-19,9,-11.5,-1.3,0,0,0
1981-03-20,12,-12,0,0,0,0
1981-03-21,8.5,-10,-0.8,0,0,0
