variable,period,month,total_points,valid_vc,filtered_vc,significant_vc,percent_significant_vc,mean_tau_vc,mean_sl_vc,percent_vc_corrected,percent_tau_b_adjusted_vc,mean_ties_vc,valid_tfpw,filtered_tfpw,significant_tfpw,percent_significant_tfpw,mean_tau_tfpw,mean_sl_tfpw,percent_tfpw_applied,percent_tau_b_adjusted_tfpw,mean_ties_tfpw,agreement_significance,agreement_direction,points_with_peaks,percent_with_peaks,mean_dominant_period,mean_rho1
Precipitation,annual,,2021,2021,0,1123,58.1262939958592,-0.018923963413999,-0.00219470319433375,69.8664027709055,0,0,2021,0,1112,55.0222662048491,0.00306522017783762,-0.00219470319433375,77.882236516576,0,0,86.8012422360249,93.2211776348342,1897,93.8644235526967,18.3483993396084,0.0245372913365441
Precipitation,monthly,1,2021,2021,0,1233,62.4936644703497,-0.0476715992387831,-0.00101244242638433,71.4497773379515,0,0.000668654800272811,2021,0,1057,52.3008411677388,-0.0316171787446932,-0.00101244242638433,76.4967837704107,0,0.000668654800272811,86.6700456158135,94.1613062840178,1571,77.7337951509154,14.9065536701546,-0.0336312564639509
Precipitation,monthly,2,2021,2021,0,1214,61.8126272912424,-0.0468884265619092,-0.00101548135591456,71.9445818901534,0,0.000687228544724834,2021,0,1049,51.9049975259772,-0.0292231041408754,-0.00101548135591456,75.1113310242454,0,0.000687228544724834,86.7107942973524,94.4087085601188,1545,76.4473033151905,16.1476683514334,-0.0285656594780916
Precipitation,monthly,3,2021,2021,0,1228,62.3033992897007,-0.0479000274762309,-0.00101073138316159,71.845620979713,0,0.000696907820002648,2021,0,1055,52.2018802572984,-0.0312539842328179,-0.00101073138316159,76.3483424047501,0,0.000696907820002648,87.1131405377981,93.9139040079169,1592,78.7728847105393,15.3646195805308,-0.0329488741529587
Precipitation,monthly,4,2021,2021,0,1219,61.9725470259278,-0.0469509784098341,-0.000983915408342362,72.3899059871351,0,0,2021,0,1051,52.0039584364176,-0.0296916338703931,-0.000983915408342362,75.9524987629886,0,0,87.0360955770209,94.9529935675408,1561,77.2389905987135,16.5664494560671,-0.0287601958832627
Precipitation,monthly,5,2021,2021,0,1225,62.2143219908583,-0.0474998306990594,-0.00100840286677685,71.3013359722909,0,0,2021,0,1049,51.9049975259772,-0.0308557647966507,-0.00100840286677685,75.5566551212271,0,0,86.7953275774505,94.1118258287976,1587,78.5254824344384,15.4662558588074,-0.031498028025667
Precipitation,monthly,6,2021,2021,0,1232,62.4113475177305,-0.0466697304387766,-0.000986524007914073,71.3508164275111,0,0.000668654800272811,2021,0,1070,52.9440870856012,-0.0305341088598837,-0.000986524007914073,74.9628896585849,0,0.000668654800272811,86.8794326241135,94.458189015339,1559,77.1400296882731,15.448589584203,-0.0320027738993272
Precipitation,monthly,7,2021,2021,0,1229,62.4174707973591,-0.0466732333424659,-0.00101224073099019,70.9549727857496,0,0,2021,0,1071,52.9935675408214,-0.0296034009588351,-0.00101224073099019,76.051459673429,0,0,87.0492635855764,94.5076694705591,1547,76.5462642256309,15.6774918008079,-0.0302804981208343
Precipitation,monthly,8,2021,2021,0,1223,62.0182555780933,-0.0470088212430163,-0.000969828423332796,70.9549727857496,0,0,2021,0,1069,52.894606630381,-0.0309757869394614,-0.000969828423332796,76.9421078673924,0,0,87.2210953346856,94.7550717466601,1587,78.5254824344384,15.2595743267213,-0.0338859232110219
Precipitation,monthly,9,2021,2021,0,1224,62.2583926754832,-0.0463647314095026,-0.000997232916708009,70.9549727857496,0,0,2021,0,1056,52.2513607125186,-0.0289701105167957,-0.000997232916708009,74.8639287481445,0,0,86.5717192268566,95.1014349332014,1559,77.1400296882731,16.0879470791112,-0.0282058581881875
